# From https://escape-sudoku.com/game/classic-16x16-easy
4,4
0,4,15,0,6,0,0,0,9,14,0,0,0,0,0,0
12,8,16,1,10,0,4,14,0,11,0,0,13,0,2,0
6,0,7,0,0,9,0,0,12,4,8,2,11,15,0,0
0,3,0,14,0,0,7,0,0,15,13,5,8,0,6,16
13,0,0,0,0,7,0,16,3,0,0,0,9,0,4,0
7,9,0,11,13,0,6,2,1,16,5,10,15,3,14,0
0,14,0,15,12,0,0,10,4,7,0,0,0,8,11,0
16,1,8,0,4,5,0,0,2,12,0,0,0,10,0,6
0,12,6,0,15,0,14,7,5,0,0,9,3,0,0,4
15,0,0,0,0,12,0,1,0,2,0,0,5,0,0,10
9,0,14,0,0,0,0,6,0,0,12,3,0,1,15,11
1,11,0,8,0,0,2,5,16,0,0,0,0,13,12,0
0,0,0,13,0,6,12,9,15,0,2,0,0,11,3,8
8,2,0,7,0,0,0,0,0,9,14,0,10,0,5,15
0,10,0,0,2,11,5,0,8,0,0,12,0,14,16,0
3,0,12,6,0,14,0,0,11,5,0,16,0,2,7,9
